　うち テスト用の入力口・出力口を作るところ                                   1671 byte        776.6 ns
　うち アクセスログ1行（要件 NF-O-02）                                 2304 byte       3353.0 ns
　うち ルーティング1回                                              448 byte        472.2 ns
1リクエスト（ルートに当たる）                                          8022 byte       7258.8 ns
1リクエスト（当たらない）                                            7193 byte       7955.2 ns
match（当たる） routes=1000 depth=4                            544 byte        198.1 ns
match（当たらない） routes=1000 depth=4                          504 byte        162.2 ns
match routes=10 depth=4                                   544 byte        255.1 ns
match routes=100 depth=4                                  544 byte        230.0 ns
match routes=1000 depth=4                                 544 byte        218.1 ns
match routes=10 depth=2                                   448 byte        156.3 ns
match routes=10 depth=4                                   544 byte        453.4 ns
match routes=10 depth=8                                   736 byte        895.4 ns
